UNIX, DHT_HUM(%), DHT_TEMP(C), pH, TDS(ppm), TDS_RAW(ppm), TEMP(C)
1657714069,79.00,26.00,7.56,0.00,0.00,28.31
1657714074,79.00,26.00,7.53,0.00,0.00,28.25
1657714079,80.00,26.00,7.53,0.00,0.00,28.25
1657714084,80.00,26.00,7.53,0.00,0.00,28.19
1657714089,80.00,26.00,7.53,0.00,0.00,28.19
1657714094,81.00,26.00,7.53,0.00,0.00,28.13
1657714099,81.00,26.00,7.53,0.00,0.00,28.13
1657714104,81.00,26.00,7.53,0.00,0.00,28.13
1657714109,81.00,26.00,7.42,0.00,0.00,28.06
1657714114,81.00,26.00,7.34,0.00,0.00,28.00
1657714069,81.00,26.00,7.39,0.00,0.00,27.94
1657714074,82.00,26.00,7.47,0.00,0.00,27.88
1657714079,82.00,26.00,7.47,0.00,0.00,27.81
1657714084,82.00,26.00,7.47,64.55,67.95,27.75
1657714089,82.00,26.00,7.47,64.55,67.95,27.75
1657714094,82.00,27.00,7.47,3.96,4.17,27.75
1657714099,82.00,27.00,8.27,3.94,4.17,27.94
1657714104,82.00,27.00,7.94,49.74,52.50,27.88
1657714109,82.00,27.00,7.80,49.79,52.50,27.81
1657714114,82.00,27.00,7.75,49.85,52.50,27.75
1657714119,82.00,27.00,7.69,49.85,52.50,27.75
1657714124,82.00,27.00,7.64,49.85,52.50,27.75
1657714069,78.00,28.00,7.67,0.00,0.00,26.56
1657714074,78.00,28.00,7.72,0.00,0.00,26.56
1657714079,78.00,28.00,7.75,0.00,0.00,26.63
1657714084,78.00,28.00,7.75,0.00,0.00,26.69
1657714089,77.00,28.00,7.69,0.00,0.00,27.44
1657714094,78.00,28.00,7.83,42.49,44.66,27.63
1657714099,78.00,28.00,7.80,40.61,42.68,27.63
1657714104,78.00,28.00,7.80,40.61,42.68,27.63
1657714109,78.00,28.00,7.80,40.61,42.68,27.63
1657714114,78.00,28.00,7.86,42.44,44.66,27.69
1657714119,78.00,28.00,7.83,42.39,44.66,27.75
1657714124,78.00,28.00,7.83,42.35,44.66,27.81
1657714129,78.00,29.00,7.83,42.35,44.66,27.81
1657714130,78.00,29.00,7.83,42.35,44.66,27.81
1657714135,78.00,29.00,7.83,40.47,42.68,27.81
1657714140,78.00,29.00,7.80,47.99,50.55,27.75
1657714145,78.00,29.00,7.83,47.99,50.55,27.75
1657714150,78.00,29.00,7.83,47.99,50.55,27.75
1657714155,78.00,29.00,7.83,3.96,4.17,27.75
1657714160,78.00,29.00,7.80,11.81,12.45,27.75
1657714165,78.00,29.00,7.80,34.86,36.74,27.75
1657714170,78.00,29.00,7.78,38.64,40.71,27.75
1657714175,78.00,29.00,7.78,49.85,52.50,27.75
1657714180,78.00,29.00,7.78,47.99,50.55,27.75
1657714185,77.00,29.00,7.78,47.94,50.55,27.81
1657714190,77.00,29.00,7.78,49.79,52.50,27.81
